text,category,tokenized_text
อยากจองคลาสปั่นจักรยานเย็นนี้ครับ,จองคลาส,อยาก จอง คลาส ปั่น จักรยาน เย็น นี้ ครับ
มีที่ว่างในคลาสโยคะวันพรุ่งนี้ไหม,จองคลาส,มี ที่ว่าง ใน คลาส โยคะ วันพรุ่งนี้ ไหม
ขอลงชื่อเข้าเรียนคลาสซุมบ้าตอนทุ่มหนึ่ง,จองคลาส,ขอ ลงชื่อ เข้าเรียน คลาส ซุม บ้า ตอน ทุ่ม หนึ่ง
จองคลาสพิลาทิสวันเสาร์เช้า 2 ที่ครับ,จองคลาส,จอง คลาส พิลาทิส วัน เสาร์ เช้า 2 ที่ ครับ
ขอจองคลาสบ็อกซิ่งช่วงเย็นวันนี้ค่ะ,จองคลาส,ขอ จอง คลาส บ็อก ซิ่ง ช่วง เย็น วันนี้ ค่ะ
ขอจองเข้าเล่นโซนเวทเทรนนิ่งบ่ายสอง,จองโซนเล่น,ขอ จอง เข้า เล่น โซน เวท เท รน นิ่ง บ่าย สอง
อยากจองลู่วิ่งไฟฟ้าช่วงหกโมงเย็น,จองโซนเล่น,อยาก จอง ลู่ วิ่ง ไฟฟ้า ช่วง หก โมง เย็น
ขอจองสนามแบดมินตันคอร์ท 1 ตอนเย็นครับ,จองโซนเล่น,ขอ จอง สนาม แบดมินตัน คอร์ท 1 ตอนเย็น ครับ
จองเลนสระว่ายน้ำวันพรุ่งนี้เช้า 8 โมง,จองโซนเล่น,จอง เลน สระว่ายน้ำ วันพรุ่งนี้ เช้า 8 โมง
ขอลงคิวใช้งานเครื่องคาดิโอช่วงบ่ายค่ะ,จองโซนเล่น,ขอ ลง คิว ใช้งาน เครื่อง คา ดิ โอ ช่วง บ่าย ค่ะ
ขอยกเลิกนัดเทรนเนอร์วันพรุ่งนี้หน่อยค่ะ,จัดการนัด,ขอ ยกเลิก นัด เทรนเนอร์ วันพรุ่งนี้ หน่อย ค่ะ
อยากนัด PT เล็ก ซ้อมยกน้ำหนักบ่ายสาม,จัดการนัด,อยาก นัด PT เล็ก ซ้อม ยกน้ำหนัก บ่าย สาม
ขอเลื่อนเวลาเทรนเนอร์จากบ่ายสองเป็นบ่ายสี่,จัดการนัด,ขอ เลื่อนเวลา เทรนเนอร์ จาก บ่าย สอง เป็น บ่าย สี่
ขอจองเทรนเนอร์ส่วนตัวประเมินร่างกายวันอาทิตย์,จัดการนัด,ขอ จอง เทรนเนอร์ ส่วนตัว ประเมิน ร่างกาย วันอาทิตย์
ยกเลิกตารางเทรนเนอร์สัปดาห์นี้ทั้งหมดครับ,จัดการนัด,ยกเลิก ตาราง เทรนเนอร์ สัปดาห์ นี้ ทั้งหมด ครับ
สอบถามตารางคลาสปั่นจักรยานหน่อยครับ,สอบถาม,สอบถาม ตาราง คลาส ปั่น จักรยาน หน่อย ครับ
ฟิตเนสเปิดกี่โมงถึงกี่โมงครับ,สอบถาม,ฟิตเนส เปิด กี่ โมง ถึง กี่ โมง ครับ
ราคาสมาชิกรายปีเท่าไหร่ มีโปรโมชันไหม,สอบถาม,ราคา สมาชิก รายปี เท่าไหร่ มี โปรโมชัน ไหม
มีที่จอดรถสำหรับสมาชิกไหมคะ,สอบถาม,มี ที่จอดรถ สำหรับ สมาชิก ไหม คะ
คลาสยืดกล้ามเนื้อมีวันไหนบ้างครับ,สอบถาม,คลาส ยืด กล้ามเนื้อ มี วัน ไหน บ้าง ครับ
ห้องน้ำไฟเสีย ช่วยแจ้งช่างให้ที,แจ้งปัญหา,ห้องน้ำ ไฟ เสีย ช่วย แจ้ง ช่าง ให้ ที
เครื่องเล่นลู่วิ่งหมายเลข 4 หน้าจอค้างครับ,แจ้งปัญหา,เครื่องเล่น ลู่ วิ่ง หมายเลข 4 หน้าจอ ค้าง ครับ
แอร์โซนเวทไม่ค่อยเย็นเลยครับ,แจ้งปัญหา,แอร์ โซน เวท ไม่ค่อย เย็น เลย ครับ
ล็อกเกอร์แถว B ล็อกไม่ได้ครับ,แจ้งปัญหา,ล็อกเกอร์ แถว B ล็อก ไม่ ได้ ครับ
ห้องอาบน้ำไม่มีน้ำอุ่นเลยค่ะ,แจ้งปัญหา,ห้องอาบน้ำ ไม่ มี น้ำอุ่น เลย ค่ะ
อยากชำระค่าบริการรายเดือนผ่านสแกน QR Code,ชำระเงิน,อยาก ชำระ ค่าบริการ รายเดือน ผ่าน สแกน QR Code
ขอรายละเอียดการต่ออายุสมาชิกแบบรายปี,ชำระเงิน,ขอ รายละเอียด การ ต่ออายุ สมาชิก แบบ รายปี
ตัดบัตรเครดิตไม่ผ่าน ต้องทำอย่างไรครับ,ชำระเงิน,ตัด บัตรเครดิต ไม่ ผ่าน ต้อง ทำ อย่างไร ครับ
ขอยืนยันใบเสร็จการชำระเงินคลาสเรียน,ชำระเงิน,ขอ ยืนยัน ใบเสร็จ การ ชำระเงิน คลาส เรียน
ต้องการเปลี่ยนแพ็กเกจสมาชิกเป็นแบบ VIP,ชำระเงิน,ต้องการ เปลี่ยน แพ็กเกจ สมาชิก เป็น แบบ VIP
